Calendar Year Filed,Violation State,Number of Filed Cases,Number of Filed Cases with a Race Basis,Number of Filed Cases with an Asian Race Basis,Number of Filed Cases with an Asian and White Race Basis,Number of Filed Cases with a Black or African-American Race Basis,Number of Filed Cases with a Black and White Race Basis,Number of Filed Cases with a Hawaiian or Pacific-Islander Race Basis,Number of Filed Cases with a Native American Race Basis,Number of Filed Cases with a Native American and Black  Race Basis,Number of Filed Cases with a Native American and White Race Basis,Number of Filed Cases with a White Race Basis,Number of Filed Cases with an Other Mult-Racial Race Basis,Number of Filed Cases with a Color Basis,Number of Filed Cases with a National Origin Basis,Number of Filed Cases with an Hispanic National Origin Basis,Number of Filed Cases with a Disability Basis,Number of Filed Cases with a Familial Status Basis,Number of Filed Cases with a Religion Basis,Number of Filed Cases with a Sex Basis,Number of Filed Cases with a Retaliation Basis,Number of Charges,Number of Administrative Closures,Number of Conciliations and Settlements,Number of Withdrawals after Resolution,Number of No Reasonable Cause Determinations,Number of Department of Justice Closures,Number of Post-Cause Closures by State and Local Partner Agencies,Number of Administrative Law Judge Closures,Number of Elections to Federal District Court,Number of Appeals or Supreme Court Closures,Number of Open Cases
2000,Alabama,108,74,,,73,,,,,,1,,6,2,1,28,11,,14,,,11,16,16,63,2,,,,,
2000,Alaska,6,2,,,1,,,1,,,,,,1,,2,3,,,,,2,2,1,1,,,,,,
2000,Arizona,162,44,1,,37,,,1,,,5,,2,28,22,82,14,1,6,14,,8,46,11,79,,17,,,,
2000,Arkansas,67,35,,,34,,,,,,1,,1,1,,23,17,,2,3,1,6,19,6,35,,,1,,,
2000,California,824,246,,,227,,,4,,,18,,5,118,66,237,189,28,98,57,1,116,177,68,422,2,35,,1,,
2000,Colorado,114,41,2,,34,,,4,,,2,,1,20,16,42,20,3,20,15,,20,9,21,60,3,1,,,,
2000,Connecticut,105,43,,,42,,,,,,1,,11,16,9,43,21,,11,5,,17,21,14,40,1,11,,,,
2000,Delaware,18,8,,,8,,,,,,,,1,1,,4,4,,3,1,,4,5,4,3,,2,,,,
2000,District of Columbia,13,7,,,7,,,,,,,,1,4,3,3,1,2,,1,,2,4,3,3,1,,,,,
2000,Florida,502,190,,,180,,,,,,11,,19,72,42,186,90,9,51,22,1,67,99,41,278,1,10,,1,,
2000,Georgia,177,98,1,,90,,,4,,,5,,5,25,16,45,28,5,19,3,,7,48,3,115,1,3,,,,
2000,Hawaii,38,4,1,,2,,,,,,2,,,6,2,23,7,,1,2,,2,5,1,24,1,2,,,,
2000,Idaho,177,5,,,5,,,,,,,,,17,17,114,48,4,2,5,11,34,90,9,31,2,,,11,,
2000,Illinois,232,91,1,,89,,,,,,1,,3,40,34,60,45,12,18,7,3,35,39,26,108,21,,,3,,
2000,Indiana,138,60,,,54,1,,3,,,3,,1,18,14,35,20,7,9,2,1,29,10,16,70,3,3,,1,,
2000,Iowa,143,74,,,66,,,3,,,7,,1,7,4,50,23,1,26,10,,40,33,12,47,5,5,,,,
